LENX,X,LENY,Y
11,4083,14,4083
11,2111,13,2111
11,1519270,12,1519270
11,135014,11,135014
11,1052,10,1052
11,154,9,154
11,1114,8,1114
11,1412,7,1412
11,327,6,327
11,5982,5,5982
11,406216,4,406216
11,1060,3,1060
11,128,2,128
11,879,1,879
11,8469497,0,8469497
10,547,14,547
10,18,13,18
10,17954,12,17954
10,8535,11,8535
10,61775,10,61775
10,811,9,811
10,1466,8,1466
10,101,7,101
10,38,6,38
10,107,5,107
10,20297,4,20297
10,65,3,65
10,426,2,426
10,608,1,608
10,711562,0,711562
9,34,14,34
9,20,13,20
9,276,12,276
9,457,11,457
9,1677,10,1677
9,219,9,219
9,337,8,337
9,193,7,193
9,13,6,13
9,1,5,1
9,127,4,127
9,40,1,40
9,3263,0,3263
8,24,14,24
8,261,13,261
8,21505,12,21505
8,20519,11,20519
8,423,10,423
8,527,9,527
8,7193,8,7193
8,935,7,935
8,383,6,383
8,7,5,7
8,1023,4,1023
8,32,3,32
8,93,1,93
8,29740,0,29740
7,10301,14,10301
7,94,13,94
7,10737,12,10737
7,5038,11,5038
7,350,10,350
7,372,9,372
7,1377,8,1377
7,391,7,391
7,189,6,189
7,201,5,201
7,422,4,422
7,50,3,50
7,55,2,55
7,1027,1,1027
7,8301,0,8301
6,6,14,6
6,82,13,82
6,15424,12,15424
6,38,11,38
6,118,10,118
6,10,9,10
6,653,8,653
6,182,7,182
6,26,6,26
6,301,5,301
6,1330,4,1330
6,1,3,1
6,32,2,32
6,192,1,192
6,32913,0,32913
5,32,13,32
5,20496,12,20496
5,994,11,994
5,917,10,917
5,115,9,115
5,320,8,320
5,181,7,181
5,125,6,125
5,677,5,677
5,1591,4,1591
5,596,3,596
5,33,2,33
5,12462,1,12462
5,22520,0,22520
4,77130,14,77130
4,26212,13,26212
4,240149,12,240149
4,10767,11,10767
4,3526,10,3526
4,58,9,58
4,2495,8,2495
4,224,7,224
4,400,6,400
4,187,5,187
4,5333,4,5333
4,372,3,372
4,157,2,157
4,668,1,668
4,14153,0,14153
3,3,14,3
3,4,13,4
3,15504,12,15504
3,14,11,14
3,249,10,249
3,2,9,2
3,445,7,445
3,127,6,127
3,3,5,3
3,12211,4,12211
3,483,3,483
3,1668,2,1668
3,4891,1,4891
3,9961,0,9961
2,1,13,1
2,1269,12,1269
2,1,7,1
2,2154,5,2154
2,3141,4,3141
2,795,3,795
2,2449,2,2449
2,8637,1,8637
2,41604,0,41604
1,4760,14,4760
1,64,13,64
1,33423,12,33423
1,2,11,2
1,4,10,4
1,149,8,149
1,77,7,77
1,6,6,6
1,976,5,976
1,4647,4,4647
1,35639,3,35639
1,3756,2,3756
1,2632,1,2632
1,110098,0,110098
0,75,15,75
0,2527822,14,2527822
0,1061458,13,1061458
0,8667913,12,8667913
0,453878,11,453878
0,113813,10,113813
0,2107,9,2107
0,84199,8,84199
0,4792,7,4792
0,23361,6,23361
0,16187,5,16187
0,26246,4,26246
0,3112,3,3112
0,10297,2,10297
0,20866,1,20866